,,,,,
Date,Open,High,Low,Close,Volume
1/3/2022,2889.51,2911,2870.05,2901.49,1261225
1/4/2022,2911.01,2932.2,2876.32,2888.33,1146389
1/5/2022,2883.62,2885.96,2750.47,2753.07,2482076
1/6/2022,2749.95,2793.72,2735.27,2751.02,1452452
1/7/2022,2758.1,2765.09,2715.78,2740.09,970412
1/10/2022,2701.98,2772.8,2662.81,2771.48,1704784
1/11/2022,2763.61,2806.59,2736.27,2800.35,1175062
1/12/2022,2831.09,2856.28,2822.24,2832.96,1182079
1/13/2022,2836.81,2863.71,2778.28,2782.62,1328254
1/14/2022,2750,2824.01,2750,2795.73,1191296
1/18/2022,2732,2747.83,2712.34,2725.81,1370098
1/19/2022,2738.77,2767.99,2710,2713.04,1039764
1/20/2022,2730.28,2758.24,2662.89,2670.13,1096528
1/21/2022,2660.24,2695.21,2600.02,2601.84,2095961
1/24/2022,2520.55,2615.57,2492.84,2607.44,2764602
1/25/2022,2568.71,2586.77,2527.56,2534.71,1800430
1/26/2022,2611.85,2656.15,2543.07,2584.8,1981544
1/27/2022,2627.22,2652.2,2578.9,2582.42,1514251
1/28/2022,2600,2667.41,2573.89,2665.79,1525878
